,0,1
27,100021.png,"{\cal L}=-{1\over 4}F_{\mu\nu}F^{\mu\nu}+{\bar\psi}(i\gamma^\mu D_\mu -m)\psi\,,
"
28,100022.png,"  S\sim\tilde{\psi} Q_o \tilde{\psi} +g_s^{1/2} \tilde{\psi}^3+\tilde{\phi} Q_c \tilde{\phi} + g_s \tilde{\phi}^3+ \tilde{\phi}B(g_s^{1/2}\tilde{\psi})+\cdots.
"
29,100023.png,"C(x^{\prime}, x^{\prime\prime}) = C \Phi(x^{\prime},x^{\prime\prime})\ ,\quad \Phi(x^{\prime}, x^{\prime\prime})=\exp\left[-ie\int_{x^{\prime\prime}}^{x^{\prime}} dx^{\mu}A_{\mu}(x)\right]\ , 
"
30,100024.png,"ds^2 = H^{-2} f(r) dt^2 + H^{2/(n-1)}(f(r)^{-1}dr^2 +r^2 d\Omega_n^2),
"
31,100025.png,"%y^2 = \rho \; \cosh \beta \; \sin \theta \; \sin \phi\qquad\qquad y^3 = \rho \; \cos \theta%
"
32,100026.png,"e^A = e^{A_0} \left( t_0 - {\rm sign} (m) t  \right)^{- \frac{m}{2}} \; , \; \; \; \; \chi = \chi_0 \left( t_0 - {\rm sign} (m) t \right)^m \; ,
"
33,100027.png,"\gamma_j{\cal P}_{ji}= \frac{4}{3}\{[Ad\,T][t^c_{8},[t^c_{8},{\gamma}_j]][Ad\,T^{-1}]\}{Ad\,{\hat{g}}}_{ij}.
"
34,100028.png,"\Omega^{(l)}_k=\sum_{s=0} \int d^3y \left((-1)^{s+1}                \frac{d^s}{dt^s}\phi^{i(s)}_k(x,y)L^{(0)}_i(y)\right).
"
35,100029.png,"K_{\mu\nu}~=~\frac{1}{2}\dot{g}_{\mu\nu}.
"
36,10003.png,"X(u)= { {\left( \pm i + e^{3 \eta} \right)   \left( -1 + {e^u} \right)  \left( 1 + {e^u} \right) x_1 } \over {2 {e^u} \left( \pm i + {e^{3 \eta + u}} \right) } },
"
37,100030.png,"A=ar^\beta ,\quad B=br^{\beta +2};\qquad a/b=c(\beta +2)/(\beta -2),
"
38,100031.png,"\delta W_{P\mu} = A_{\mu}\Phi + B_{P\mu}^{\alpha}K^{\alpha}_P \ .
"
39,100032.png,"\frac{1}{d-2}\tilde{\Pi}^{2}-\tilde{\Pi}_{ab}\tilde{\Pi}^{ab}=\frac{\left(d-1\right) \left( d-2\right) }{\ell ^{2}}+R  
"
40,100033.png,"\hat{e}=e/\varepsilon,\ \ \ \ \ \ \ \ \ \hat{G}_4=G_4,
"
41,100034.png,"R(e_1) = \epsilon^{- J_{67} + J_{89}}, \quad R(e_2) = \epsilon^{  J_{45} - J_{89}} .
"
42,100035.png,"{\tilde {\cal {E}}}_{m<0} = {\cal {E}}_{m<0}(B) - {\cal {E}}(0)= \frac {B^2} {2} + \frac {(eB)^{\frac {3} {2}}} {2 \pi} g\left(\frac {eB} {m^2}\right) \, ,
"
43,100036.png,"V_{(n,\, m)}(z,\overline{z})=:\exp i(p_{+}\phi (z)+p_{-}\bar{\phi }(\overline{z})):\: .
"
44,100037.png,"\langle f|g\rangle_{{\cal L}^{1|2}}=\langle f_0|g_0\rangle_{\cal L}^s+\langle f_1|g_1\rangle_{\cal L}^{s+1/2}+\langle f_2|g_2\rangle_{\cal L}^{s+1/2}+\langle f_3|g_3\rangle_{\cal L}^{s+1}\,,
"
45,100038.png,"g^>_n(r,r')=E_n K_{|n/\alpha|}(\beta r), \quad \hbox{for $r>r^{'}$.}
"
46,100039.png,"\tilde{s}^{0}(x,y) =  i e^2\int\!d^4\!z\,S_{\rm F}(x,z)\,\gamma^\mu\,S_{\rm F}(z,y)\,[d_\mu(x-z) + d_\mu(z-y)]
"
47,10004.png,"{\cal P}_{\delta x} \equiv {k^3\over2\pi^2} |\delta x|^2 \, ,
"
48,100040.png,"\psi (x)=-2\phi (x)+2\phi (L) +c,
"
49,100041.png,"{}^{({}^{\scriptstyle x}y)}({}^x z)={}^x({}^yz),\qquad \forall x,y,z\in X.
"
50,100042.png,"\delta (L_1 + L_2) = 2\delta \bar\theta (1 + \gamma^{(p)}) T^\nu_{(p)} \partial_\nu\theta.
"
51,100043.png,"\frac{1}{2\lambda f^2}\int\;d^4X\,\frac{d^4q}{\left(2\pi\right)^4}  \left(\varphi(X)\right)^2\tilde\pi_0(q)\left[\partial_q^2+  \frac{4i\lambda}{q^2-\Sigma^2(q)}\right]\tilde\pi_0(q),
"
52,100044.png,"G^{\mu\nu\mu'\nu'} = g^{\mu\mu'}g^{\nu\nu'} + g^{\mu\nu'}g^{\nu\mu'}-{2\over D}g^{\mu\nu}g^{\mu'\nu'}+C g^{\mu\nu}g^{\mu'\nu'} \: .
"
53,100045.png,"  [M_{\mu\nu} , M_{\rho \tau} ] = g_{\mu\tau} \,  M_{\nu\rho} - g_{\nu\tau} M_{\mu\rho} + g_{\nu\rho}  M_{\mu\tau} - g_{\mu\rho} M_{\nu\tau} \, ,
"
54,100046.png,"A_0 = \pm\sqrt{{4\over 3(1-\alpha)}}e^{(\alpha-1)\phi}\ .
"
55,100047.png,"\left\{\Psi\circ\mu ,f\right\}=(\overline X_if)\, (Y^i \Psi)\circ\mu\,,
"
56,100048.png,"C_m(\mu)={1\over 2\pi i}\int_{\Gamma_r}{C_m(z)\over z-\mu}dz,
"
57,100049.png,"\xi=\alpha^{-1}\sqrt{\rho}\cosh(2\alpha^2 t)\,,\quad\eta=\alpha^{-1}\sqrt{\rho}\sinh(2\alpha^2 t)
"
58,10005.png,"a_{1}=\frac{2\tilde q}{\alpha^{2}(D-2)+2q\tilde q},~~~~a_{2}=\frac{\alpha^{2}(D-2)}{\alpha^{2}d(D-2)+2\tilde d q^{2}} 
"
59,100050.png,"{e_{\hat{\mu}}^{\ \hat{m}}=\pmatrix{e^{\ s}_{\sigma}  &   0  \cr0&  e^{\ a}_{\alpha} \cr}}
"
60,100051.png,"\theta\epsilon^i=\zeta^i\,;\qquad\theta\zeta^i=\epsilon^i\,;\qquad\theta\eta^i=-\eta^i\,.
"
61,100053.png,"{\cal A}_{fi}(s)=-i\frac{Q_{\mu\nu}V_f^\mu(\bar s)V_i^\nu(\bar s)}{(s-\bar s)[1-A^\prime(\bar s)]}+N,
"
62,100054.png,"S=\frac{1}{G}\int dxdt\:\sqrt{-\bar{g}} \:e^{-2\bar{\phi}}(\bar{R}+4(\bar{\nabla} \bar{\phi})^2+4\lambda^2)-\frac{1}{2}\int dxdt\:\sqrt{-\bar{g}}\: \sum_{i=1}^N(\bar{\nabla}f_i)^2,
"
63,100055.png,"S = {\pi^3 R^5\over 2 \kappa^2_{10}}\left[ \;    \int\limits_{0}^{1}\!du\, d^4x\, \sqrt{-g}\left( {\cal R} - 2\Lambda\right) + 2 \int\! d^4x\, \sqrt{-h} K + a \int\! d^4x\, \sqrt{-h} \; \right]\,.
"
64,100056.png,"g_{J_1\, J_2}^J\>\bigl(J_1,M_1;J_2,M_2\vert J_1,J_2;J,M_1+M_2\bigr)\>\,\Bigl(\xi_{M_1+M_2}^{(J)}(\sigma_1)+\hbox{descendants}\Bigr) \Bigr\},
"
65,100057.png,"\phi'^A=\frac{\partial F(\phi , \phi'^*)}{\partial \phi'^*_A}\hspace{2cm}\phi^*_A=\frac{\partial F(\phi , \phi'^*)}{\partial \phi ^A}.
"
66,100058.png,"Q^M=\dot g_0\int_{\phi (\Sigma )}\sum_{i=1}^l\beta _i\eta_i\int_{N_i}\frac 1{\sqrt{g}}\delta ^D(x-z_i(u))\sqrt{g_u}%d^{(D-d)}ud^{(d)}\phi .
"
67,100059.png,"\psi(x) = [2 \pi \sigma^2]^{-1/4}\exp\left[-\left(\frac{x-x_0}{2 \sigma}\right)^2+ip_0x\right],
"
68,10006.png,"A_\mu=\bar{A}_\mu (\phi)+a_\mu\ ,
"
69,100060.png,"\left[ D_f, D \right] = 0\, . 
"
70,100061.png,"G=\!e^{i\tau L_{-1}} e^{iU^{(1)}L_1} e^{iU^{(2)}L_2}e^{iU^{(3)}L_3}\ldots\! e^{i{U^{(0)}}L_0},
"
71,100062.png,"\exp_qA=\sum_{n=0}^\infty \frac{A^n}{[n]!}       
"
72,100063.png,"\langle b_1(z,\bar{z}) a_1(z',\bar{z}') \rangle=-{1 \over \pi} \partial ~K_0(d^2 m^2({\bf p}))~,
"
73,100065.png,"\lambda_{+}=\frac{1+i\omega}{2},\quad\lambda_{-}=\frac{1-i\omega}{2}
"
74,100066.png,"1+\frac{2\pi \Lambda G}{9\alpha }>0  
"
75,100067.png,"\label {kp1}e^{-K}=\pm \frac{W^{3/2}}{\omega_1 \omega_2 \omega_3}\ ,
"
76,100068.png,"%{\cal{Z}}(\tau{})=\sum_{m}\int{\cal{D}}\Omega{\cal{D}}V{\hbox{Vol}}_{ZM}{\hbox{det}}(d_2)%\frac{1}{{\hbox{Vol}}G}e^{-{\cal{I}}(\Omega,V;\tau)}%
"
77,100069.png,"  |0(t)\rangle_{e,\mu}\equiv G^{-1}_{\theta}(t)|0\rangle_{1,2}\,,
"
78,10007.png,"R^{(1)} = R_{12}\,\mbox{or}\,  R_{21}^{-1} \,, \quad R^{(2)} = R_{21} \,,\quad  R^{(3)} =R_{12} \,,\quad  R^{(4)} = R^{-1}_{12} \,\mbox{or}\,  R_{21} \, .
"
79,100070.png,"\left( \alpha' \right)^{- 1} e^{- \phi/2} f_{16} \\sim \ g^{-24} \sqrt{N} \ ,
"
80,100071.png,"\Gamma_{i j}^{k} = ( \partial_{i} G_{j {\bar l}} )G^{{\bar l} k} \\
"
81,100072.png,"{\cal{F}}:\ < g > = \int d^{3}\theta \ g({\vec{\theta}}) f({\vec{\theta}},t) \,
"
82,100073.png,"\tilde S_{r,\Lambda}(t_2,t_1;g)=-2i\delta(t_2-t_1)H_I^{(r)}(t_1)+\tilde S'_{r,\Lambda}(t_2,t_1;g),
"
83,100074.png,"\nu_R(E)=\int_{\mu}^{E-\mu_Q}\nu(E')\nu_Q(E-E') dE'~~~.
"
84,100075.png,"{\mbox{\boldmath $e$}}(t)= \dot{{\mbox{\boldmath $x$}}} /\sqrt{ {\dot{{\mbox{\boldmath $x$}}}}^2} \;,
"
85,100076.png,"V_{eff}(z)=\frac{3 (5\alpha+4)k^2}{64\left({kz \over2}+1\right)^2}+{l^2 \over 2R^2}\left({kz \over 2}+1\right)^{{5 \over 2}(\alpha-2)}-{3k \over 4}\delta(z)
"
86,100077.png,"Z_{\rm F}[A ] = \int \!  D {\bar \psi}D \psi e^{-\int \! d^2 x\,[ \psi_{1}^{\dagger} i \partial \psi_{1} +\psi_{2}^{\dagger} i {\bar \partial} \psi_{2} -\psi_{1}^{\dagger} A\psi_{1} - \psi_{2}^{\dagger} {\bar A} \psi_{2} ] } \; ,
"
87,100078.png,"R:~~~~~~~~~~~~~~~~~~~~~~~~~\alpha'M^2=-1,0,1,2,3,...........
"
88,100079.png,"f_{ij}(u) = f_{ji}(u) = c\, \mbox{sgn}(u) = c\, [\theta(u) - \theta(-u)],  \qquad 1\le i<j\le N, 
"
89,10008.png,"%Eq(5.2)T_{R}\;\sim\;5\left(\frac{m}{\mbox{TeV}}\right)^{3/2}\;\;\;\mbox{keV}.
"
90,100080.png,"P_n^p = \frac{(-1)^{p+n}}{n!(p-n)!}\mathop{{\prod}'}_{k=0}^p(N-k),\quad n=0,...,p,
"
91,100081.png,"T_{{\cal G}}(-t,-t^{-1})=\sum x^{i(B)}x^{-e(B)}  
"
92,100082.png,"\left. \begin{array}{ccc}S_{\sigma \sigma '}\nonumber \\ S_\Delta \nonumber \\ \tilde {S}_\Delta\end{array} \right \} \varpi= (\varpi +2) \left \{ \begin{array}{ccc}S_{\sigma \sigma '}\nonumber \\ S_\Delta \nonumber \\ \tilde {S}_\Delta\end{array} \right. .
"
93,100083.png,"\Phi_0(Z)=\delta^{-1}\alpha,\qquad\Phi_0(Z)=\alpha^{-1} \delta
"
94,100084.png,"{\xi}^{\ast}_i,  {p}^{\ast}_i, \quad i = 2, \dots, l+1
"
95,100085.png,"\varrho_L - {\cal L}_E=  [2\dot\Phi^2] \; K'(\dot\Phi^2,\Phi) - K(\dot\Phi^2,\Phi) + K(-\dot\Phi^2,\Phi).
"
96,100086.png,"b(k) b^{\dagger}(l)- q_{e}b^{\dagger}(l) b(k)=\delta(k-l),     
"
97,100087.png,"{\cal L}=-\mbox{\small$\frac{1}{2}$}f^2\,\partial_\mu\pi_r\,\partial^\mu\pi_r- \mbox{\small$\frac{1}{2}$}f^2\lambda\left(\pi_r\pi_r-N\right)\;,
"
98,100088.png,"<\frac{1}{2},m_s|{\psi}_{-}^{(\frac{1}{2})}(g)>\equiv D^{(\frac{1}{2})}_{m_s-\frac{1}{2}}(g)=<g,l+\frac{1}{2}|T^{\frac{1}{2}}_{m_s-}|g,l>.
"
99,100089.png,"E_{{\rm quasilocal}}=E_{+}-E_{-}=\left( r\left[ 1-\left| r,_y\right| \right]\right) _{y=y_{+}}-\left( r\left[ 1-\left| r,_y\right| \right] \right)_{y=y_{-}}.
"
100,10009.png,"I=2\left({\alpha\over \sinh^2 A+\sin^2{\gamma\over 2}}-{\sinh {2A\over \alpha}\over \sinh {2A}}~{1\over ( \sinh^2 {A\over \alpha}+\sin^2{[\gamma ]\over 2\alpha})} \right)~~.
"
101,100090.png,"\delta\chi_{\mu\nu} = ib_{\mu\nu}, \qquad \delta b_{\mu\nu} = 0.
"
102,100091.png,"V_{ab\ \ mn}^{k}=\frac{1}{g}\ E_{a}^{r}\ E_{b}^{s}\epsilon _{rs(m}\ \delta_{n)}^{i}.
"
103,100092.png,"W(x) = \frac{x^3}{3} - a^2 x,        
"
104,100093.png,"Z_M=\sum_{j_s}\int dU_f\Pi _s\left( 2j_s+1\right) Tr_{j_s}U_s
"
105,100094.png,"f(x,p;t)= \int\! da db ~\tilde{f}(a,b) ~ e^{iax(-t)} e^{ibp(-t)},
"
106,100095.png,"\{ \langle n|O|p\rangle\: | n\in \Sigma_{s}^{\prime}\}
"
107,100096.png,"{\cal L}^{(0)}(B)=-{1\over 2}B^2\; ,
"
108,100097.png,"\phi(\rho)=\cases{\phi^{(1)}(\rho)                 &in region 1\cr\bar{\phi}^{(1)}(\rho)                 &in region $1^*$\cr(-1)^{-d_\phi}\,\phi^{(2)}(-\rho)                 &in region 2\cr(-1)^{-d_\phi}\,\bar{\phi}^{(2)}(-\rho)                 &in region $2^*$.\cr}
"
109,100098.png,"\ddot{h} =  - \nabla_h \Phi
"
110,100099.png,"\langle 0| T_{\mu\nu} |0 \rangle_{\mbox{\tiny Ren.}} = \mbox{diag} \left[\langle 0|T_{tt}|0\rangle , 0, \langle0|T_{ll}|0\rangle,\langle0|T_{ll}|0\rangle\right].
"
111,1001.png,"\frac{1}{24.8\pi^2}\,\int_{\cal M} R\wedge R = \frac{1}{24.8\pi^2}\,\int_{{\cal M}} {\rm d}C = \frac{1}{24.8\pi^2}\,\int_{\partial   {\cal M}} C\, ,
"
112,10010.png,"\quad  |A_1|^2 + |A_2|^2 - |B_1|^2 -|B_2|^2 = 0.
"
113,100100.png,"e^{\phi^6_c}=-{v_a\over\tilde v_a}
"
114,100102.png,"\mbox{\boldmath $ \pi$}                            =\mu^{-1} \, {\bf p}\;   .
"
115,100103.png,"S =  \int_{\mathcal M} \left( {i \over 2} \left[ \overline \psi \gamma^a\nabla_a \psi - \overline{(\nabla_a \psi)} \gamma^a \psi \right] - m \overline\psi \psi \right) \, , 
"
116,100104.png,"\Psi \sim \exp \left\{ - \frac{1}{\hbar}\int_{a}^{x} \sqrt{2(v - e )} \right\} \sim \exp \left\{- \frac{1}{\hbar} x^{\frac{5}{2}} \right\}
"
117,100105.png,"\ddot{R}^{k}(t)=\omega^{kl}\dot{R}^{l}(t)+O(\dot{R}^{k}\dot{R}^{k}) \;\;.
"
118,100106.png,"{\rm Tr}\,\log(1-\sum_{i=0}^{N} A_i)~=~{\rm Tr}\,\log(1-\sum_{k=1}^{N} \sum_{m=0}^{k-1} A_k\phi^m)+{\rm Tr}\,\log(1-\phi)~.
"
119,100107.png,"H_{ij}^{a}=F_{ij}^{a}-gf_{\;\;bc}^{a}A_{i}^{b}A_{j}^{c},  
"
120,100108.png,"{\cal L} \rightarrow {\cal L} + \frac {\alpha  N}{16 \pi^2} F\tilde{F}.
"
121,100109.png,"\partial_0 {\cal E} + {\bf div} {\bf S} = 0 \, .
"
122,10011.png,"\phi(x,y)=\lambda^{2s} \, \phi(\lambda x,\lambda y)
"
123,100110.png,"{\bf N}({\bf p},{\bf s}):=ip_0{\nabla}_{\bf p}-\frac{{\bf s}\times{\bf p}}{p_0+m},\quad{\bf J}({\bf p},{\bf s}):=-i{\bf p}\times{\bf \nabla}_{\bf p}+{\bf s}:={\bf L}({\bf p})+{\bf s},
"
124,100111.png,"S_B[A]\;=\; i \,\frac{1}{\eta} \,S_{CS}[A]\;+\;R[\widetilde{F}] +  \frac{i}{\theta}\int d^3x d^3y j_\mu^T(x) {\mathcal K}_{\mu\nu}(x-y) j_\nu^T(y)\;,
"
125,100112.png,"{\partial \bar g_{\mu\nu}\over \partial l_i}\in \mbox{Ker}(\bar{F}^\dagger)
"
126,100113.png,"{\cal L} = \frac{1}{2}{\it i}\overline{\psi}{\Gamma}^{\nu}\hspace{-.15cm}\stackrel{\;\leftrightarrow}{\partial}_{\!\nu}\hspace{-.1cm}{\psi}-\overline{\psi}M{\psi}\quad ,
"
127,100114.png,"m_{H} \approx 272 \, \lambda ^{1/4} \ \mbox{GeV}.  
"
128,100115.png,"  A_\mu \;=\; \partial_\mu \varphi + \epsilon_{\mu\nu}  \, \partial_\nu \sigma \;.
"
129,100116.png,"M_{p_e,q_m} = {2\pi\over g^2_{\rm YM}} {q_m u\over \cos\xi}=u \sqrt{ \left( \frac{2\pi q_m}{g^2_{YM}}\right)^2 +p_e^2}\, .
"
130,100117.png,"{d^2\varphi\over d\tau^2} = \sin\varphi\ ,
"
131,100118.png,"\hat{I}_{12} = - \frac{1}{96(2\pi)^5} \hat{I}_4 \wedge ( \frac{1}{4} (\hat{I}_4)^2 - X_8 )
"
132,100119.png,"\frac{1}{k^2}(g^{\mu \nu}- \frac{\tilde{k}_{\mu} \tilde{k}_{\nu}}{\tilde{k}^2}) 
"
133,10012.png,"\begin{array}{lcr}qJ_1J_2-q^{-1}J_2J_1&=&(q^2-q^{-2})J_3\\qJ_2J_3-q^{-1}J_3J_2&=&(q^2-q^{-2})J_1\\qJ_3J_1-q^{-1}J_1J_3&=&(q^2-q^{-2})J_2\\\end{array}
"
134,100120.png,"S_{\Omega ^{\prime },\Omega }x\Omega =x^{*}\Omega ,\,\,x\in M
"
135,100121.png,"C_J (\nu_1, \nu_2)=(2 J  + \nu_1 + \nu_2 + 1)\frac{{\mit\Gamma} (J + 1) {\mit\Gamma} (J + \nu_1 + \nu_2 + 1)}{{\mit\Gamma} (J + \nu_1 + 1) {\mit\Gamma} (J + \nu_2 + 1)}\, .
"
136,100122.png,"a_1=-2\pi I_{2\alpha }(0)=-\frac{\pi}{3}\left (\frac{\pi }{\alpha} -\frac{\alpha}{\pi}\right ){.}
"
137,100123.png,"{\cal L}={\frac {1}{2}}\partial_\mu \phi_x \partial^\mu \phi_x-                      {\frac {1}{2}}m_0^2\phi_x^2-          {\frac {m^2}{\beta^2}}(1-cos(\beta\phi_x)) \equiv          {\frac {1}{2}}\partial_\mu \phi_x \partial^\mu \phi_x-U(\phi_x),
"
138,100124.png,"\langle P'| J^\mu (0) |P\rangle       = \bar u(P')\, \Big[\, F_1(q^2)\gamma^\mu +F_2(q^2){i\over 2M}\sigma^{\mu\alpha}q_\alpha\, \Big] \, u(P)\ ,
"
139,100125.png,"u_0(k,r)=\sqrt{{\displaystyle {\pi\over 2}}}\,i\sqrt{r}\,J_0(kr) - \sqrt{{\displaystyle {\pi\over2}}}\,A(k)\sqrt{kr}\,H_0^{(1)}(kr).
"
140,100126.png,"f\star g = \exp \Bigg[ \hbar\Bigg(\frac{\partial~}{\partial q}\frac{\partial~}{\partial\tilde p}-\frac{\partial~}{\partial p}\frac{\partial~}{\partial\tilde q}\Bigg)\Bigg] f({\bf x}) g({\bf \tilde x}) \vert_{{\bf x} = {\bf\tilde x}},
"
141,100127.png,"\Delta {\cal A}=\frac{1}{2}(1+g).  
"
142,100128.png,"\exp \left( ip_{\mu }X^{\mu }\right) \rightarrow \hat{v}_{p}=\hat{h}^{k_{2}}%\hat{g}^{k_{1}}\omega ^{k_{1}k_{2}/2}.
"
143,100129.png,"(\partial_{\gamma},\partial_{\gamma})_{(10)}=\sqrt{\tilde{\Delta}}e^{2U}%\frac{r^{2}}{4},
"
144,10013.png,"%3.8G= \eta_{ab} dz^{a} \otimes dz^{b} =- dz^{0} \otimes dz^{0} + \sum_{i=1}^{n-1} dz^{i} \otimes dz^{i},
"
145,100130.png,"T_{[\mu\nu]}^{\ a} =\partial_{\mu}E^{\underline{a}}_{\nu} - \partial_{\nu}E^{\underline{a}}_{\mu}
"
146,100131.png,"\eta_{\mu \nu} = {\rm diag( - , +) }
"
147,100132.png,"\langle f,f\rangle = \langle g,g\rangle = 0.
"
148,100133.png,"A_{ab} \stackrel{\rm def}{\equiv} \frac{\partial ^2L_{\rm q}}{\partial\dot{q}_a^{n_a}\partial \dot{q}_b^{n_b}}.
"
149,100134.png,"\Big(L^{\frac{3}{2}}\Big)_{+} = p^3 + \frac{3}{2} u\star p-\frac{2\kappa}{2} u^{(1)},
"
150,100135.png,"Q_{a,b}(\mu , \nu ; N)=p_{a,b}(\mu , \nu ; 0 ; N) +\sum_{\lambda =1}^{\infty} (-1)^{\lambda }p_{a,b}(\mu , \nu ; \lambda ; N) +\sum_{\lambda =1}^{\infty} (-1)^{\lambda }m_{a,b}(\mu , \nu ; \lambda ; N).
"
151,100136.png,"\vec A_\mu(x)\!=\!\partial_\mu\vec n(x)\wedge\vec n(x)+C_\mu(x)\vec n(x)+\vec W_\mu(x),
"
152,100137.png,"{\cal E}=\frac {{\bf D}^2 +{\bf H}^2}{2}-\left({\bf \theta}\cdot{\bf B} \right){\bf B}^2 ,
"
153,100138.png,"\frac1{\nabla^2}\,\delta_\Sigma^{(2)}(z-z_0)=-\frac1\pi\log {\cal E}(z,z_0)
"
154,100139.png,"{\cal M}=M(\infty)=4\pi\int_0^\infty\left[r^2\left({\cal U}(f,h,u)+\alpha^2{\cal K}(f,h,u)\right)-\eta^2\right]e^{-P(r)} \ ,
"
155,10014.png,"y \sqrt{c} \sinh \alpha = \cosh \alpha - \cosh (x \sqrt{c} - \alpha) \; \; , \; \; \; \; \tanh \alpha \equiv 2 \sqrt{c} \; .
"
156,100140.png,"\lambda tK_{\left| n\right| }(\mu t)I_{\left| n\right| }(\mu t).  
"
